,Date,Review,Platform
0,2022-11-20,Had an issue using my phone with the order points to login and recueve mh liyalty points and codes. Asked for help from staff and was told they cant help me so i went upto the tills to try and order and use my codes...and got refused service and told to use the machines even though intried explaining the machines wasnt workingMore,TripAdvisor
1,2022-11-04,"AWFUL STAFF! Called multiple times to complain but every time the same two staff members told me they didn’t have time for me and to take it elsewhere when I was complaining about THEIR STAFF, the manager was just as rude and told me I...was ridiculous, AWFULMore",TripAdvisor
2,2022-10-20,A pretty efficient Burger King with plenty of screens to place orders on plus a drinks machine offering a wide range of choice. The food came quickly even though I'd requested a variation from the standard Whopper and the seating area is pretty clean. However...it was annoying the way a staffer tried to snatch my tray when I hadn't finished my drink and the restaurant was not under heavy pressure to turnover seats.More,TripAdvisor
3,2022-08-09,"We only nipped into Burger King to go to the toilet. Unfortunately, this branch of BK have made the executive decision to lock their toilets.

The million dollar question is why?

No point having a public toilet if the general public can't use them. Absolutely...useless!

Can't comment on the food/drink, however.More",TripAdvisor
4,2022-04-12,"This branch of Burger King has gone fully vegan for a month which I think is fab and just shows what change is happening with people opening their eyes to what goes on in meat/dairy production. It was so good to eat at a main...stream fast food outlet where everything on the menu was vegan and the place was busy too!

I only hope that Burger King decide to have some permanent vegan outlets as that would be really good.

🌱 FTW!More",TripAdvisor
5,2022-04-11,"At about 10:30 on a Saturday night, the only choices available are fries and vegan options. Many people just didn’t order and left. Others just got fries. You probably  get just about 10 fries. The revamped branch isn’t good. Poor choice and poor value for...money. Clearly they’ve upped prices to pay for the refurb.More",TripAdvisor
6,2021-12-31,"Very busy, staff working hard. Burgers and Fries were fresh and tasty. Fairly clean. Maybe more staff needed.",TripAdvisor
7,2021-12-30,"Service was relatively quick. Staff member taking our order was polite and efficient, double-checked our meals before pushing trays towards us. However, we ordered 4 kids meals and the kids didnt get a toy as they were supposed to. Food was ok, chips were freshly...cooked and burgers/nuggets were hot.

Now the toilets. I have genuinely never seen public toilets so bad. There were 5 cubicles in the ladies, 3 of which were out of use with a sign on the door but only 1 was physically locked. The 2 that were 'usable' were unhygienic, and to be honest a health hazard in themselves. Toilet roll scraps (some looked clean, other bits definitely weren't!) all over the floors, pee on the seat of 1 toilet, overflowing sanitary bins in both cubicles and no toilet roll available in any cubicle (we even checked the out of order ones just in case.) My daughter was desperate for a pee but looked and said ""I'd rather wet myself than go in there, I think I'll just hold it""
My son went in the men's toilet so I hovered nearby to check he was ok. I could smell the toilets from about 2 metres away from the entrance. My son came out and said he didn't want to actually pee in there but couldn't wait any longer, however if there was no urinal he would have walked out - he only went because he didn't have to actually touch anything.

After leaving Burger King, we went straight over the square to the 'other' big chain restaurant (my kids have never had a BK so I promised my son if he tried it and didn't like it then we'd go to the other place to get him something to eat.) Yes, we had a 10 minute queue to get in, but what a different experience. Staff were constantly cleaning (everything from cleaning tables, wiping handrails and mopping the stairs - which was being done as we went down to seating area, then was being done again as we were on our way out of the restaurant) and toilets were well stocked and clean. Would definitely rather queue at the competitor than experience BK Leicester Square again.More",TripAdvisor
8,2021-11-05,"Visited when we first arrived in London on Monday, never again. Food was so horrible I threw it away and went to the Mcdonalds across the square, staff had a foul attitude and just couldn't be bothered. Wouldn't reccomend.",TripAdvisor
9,2021-09-11,"Went to this Burger King because there was hardly anyone there and the other major burger chain had people queuing outside. While I was ordering a cheeseburger and medium fries the 'orderperson' kept trying to 'upsell' to a larger order.I repeated I wanted medium fries....After a delay (it's supposed to be a fast food joint) I got my order and when I looked in the bag there were no fries! £8-18 for a cheeseburger and fries with no fries! I went back to the counter but the bloke was off doing something else and no-one was at the counter serving. The lady behind me said ""a mouse! .... I've just seen a mouse!"" then ""It's there under the shelf!"" and a couple of seconds later ""Oh I can't eat here!"" and left. I threw The cheeseburger in the bin. Really appalling service and apparently really appalling hygiene. Still, I've learned my lesson and won't be wasting my time or money at that place again.More",TripAdvisor
10,2021-08-09,"Ten (Check outs, tills or whatever your country calls them) but only one of them staffed. (Monday lunchtime)  I thought a Whopper with cheese would include cheese,  but apparently not.  Burger stone cold, most drinks not available.  It's been many years since I visited Burger...King in the UK and now I remember why!  Our tourists must be really impressed!More",TripAdvisor
11,2020-09-04,Great service and Farid was brilliant. Very funny and inspiring man. He made my experience a really enjoyable one engaging with customers. Will be coming back next time I’m in London.,TripAdvisor
12,2020-02-25,"Food was great and it is the small details that matter. Cleaner working on 25th February daytime about 5pm on his shift. I was sitting down eating my food and he brought over some tissues for me. Them small things that are great always smiley,...nice guy, couldn’t get his nameMore",TripAdvisor
13,2020-02-15,"Very pleasant Rebel Whopper with fries.

Service was quick, and staff member was decent and friendly.

Due to weather, the location wasn’t that busy during the lunch period.",TripAdvisor
14,2020-02-08,Me the missus the daughter and the dog called in on Way home from Essex. I sent the two girls I. While me and the pooch waited in the motor. Finally after a long wait they returned with the nosh it wasn't bad but when...wife told me the cost I literally pood my pants myself in the vehicle. I could have went to Jamie Oliver's for less. Anyway I said to the wife next time go I. A mini skirt and flash a bit to the lads behind the counter and you may get discount. This worked once in a strip bar we attended where she went missing for a good hour or so apparantley locked in the Lavs lol.  Anyway food was nice but price way to much.More,TripAdvisor
15,2020-02-08,I have always loved the whopper since childhood! Flame Boiled masterpiece! Alway a great burger! Add onion rings for a feast.,TripAdvisor
16,2020-01-25,Food was really nice would deffo go back to eat there again if I was there visiting staff were nice and friendly and easy to deal with nice apnes fear to eat in,TripAdvisor
17,2019-12-15,"If you are closer to a Burger King than a McDonalds and you fancy a breakfast, travel that bit further to McDs and don’t make the mistake we made... Burger King’s breakfasts are awful!
We thought they must be pretty similar to a McDs but...More",TripAdvisor
18,2019-12-06,We asked for a lot of ketchup. What we got was no ketchup and overcooked chicken burger. Was expecting more and thus dissapointed. Luckily the wait was reasonable.,TripAdvisor
19,2019-11-22,Despite the crowds service was good & the food was as expected. I liked that there was a menu of single items posted on the wall as we just wanted a late night snack. There was comfortable seating upstairs and security to keep kids from...More,TripAdvisor
20,2019-11-19,"Came here for a snack, very busy but served quickly. Food was okay. The. Toilet areas need to be cleaned more regularly.",TripAdvisor
21,2019-11-13,"If you need to use the toilet it is up 3 flights of stairs and then down another flight.  How can a disabled person use the toilet. My sister, after eating her mea,l needed a toilet and was told to go to the Hippodrome or...More",TripAdvisor
22,2019-11-05,"As we all want ! Something good and fast. Even if they have lost my ice cream during a moment, I finally had it",TripAdvisor
23,2019-10-30,"Very busy as you might expect in this location, but the food was prompt and tasty. The restaurant was clean, staff were efficient and polite, and the manager was very good in sorting a minor issue. As good as you could expect from a BK...More",TripAdvisor
24,2019-10-27,What a waste of time going to burger king I wouldn't serve this to my dog never again would I visit your store again,TripAdvisor
25,2019-10-19,"Panela it’s the best his boss is a disaster.
The problems it’s the rider and the man give my food to other person",TripAdvisor
26,2019-09-26,"Awful don’t go. I asked the person if they did a bacon cheeseburger and they said yes.
I paid and waited, I was presented in a rude way by what I can only call a Russian lady my food. I left to check and there...More",TripAdvisor
27,2019-09-22,For a burger king in a prime location this is rather dirty and a mess. The food was fine but did take a while to order,TripAdvisor
28,2019-09-18,"Called in for a late night snack after a great night out.
Food was terrible and sevice was dreadful - a total waste of money and a waste of 25 minutes of my life! - never again - next time we will finish partying a...More",TripAdvisor
29,2019-08-30,"The man who served me gave me the wrong size fries, when I tried to call to ask if there was a mistake he told me to f*uck off. What kind of behaviour is this?",TripAdvisor
30,2019-08-06,Burger King Is burger King after all.... and great for an early morning munchie run after a night out.,TripAdvisor
31,2019-07-31,"Quick stop-off for a couple of fish burgers and a Dr Pepper Zero.

The African gentleman server was very pleasant, and friendly.

Considering this is one of the busiest areas in London, service was quick and the downstairs - where I ate was kept ultra...More",TripAdvisor
32,2019-07-05,The food was ok but the table neeeed clearing and customer service was pretty bad . I understand it was busy but they should put on extra staff,TripAdvisor
33,2019-05-27,That was a terrible experience when I watch movie on vue and take away some bits. 1. A black hearted man very slowly ordered twice I don’t think he can speak English. 2. When I finished my order and paid I help an old lady...More,TripAdvisor
34,2019-05-18,Usually Burger King is an ideal place for a quick snack. However on this occasion the french fries were cold and the drinks dispenser delivered a combination of coke and sprite when I only requested sprite. I did find this machine a tad awkward to...More,TripAdvisor
35,2019-05-06,"As difficult to choose and agree on options tried this, had burgers also vegetable bean burger, ok, plenty of seating upstairs, refilling different flavoured drinks, ok for burgers and fries",TripAdvisor
36,2019-05-04,Got to London late and needed a quick bite to eat before our show. The organisation of the place was dreadful; there wasn't any kind of queuing system and the member of staff took our order then shouted 'next' before telling us that our food...More,TripAdvisor
37,2019-05-04,Came here for a quick bite on a Saturday evening before a night out. Wasn't incredibly busy but it took near to half an hour from the time i joined the queue to when I eventually got my food. Staff are both taking orders at...More,TripAdvisor
38,2019-04-21,I went there on a Sunday evening. The line took 20 minutes and it didn’t seem more crowded than any other fast food. For some reason none of the lines were moving.  Maybe the staff isn’t properly trained? Or the management not knowledgeable about how...More,TripAdvisor
39,2019-04-21,Went there to buy milkshakes for the family. Only three registers were opened and the lines were out the door. Each cashier is trying to take orders and pack orders one customer at a time. Worst system for efficiency and customer experience. I paid for...More,TripAdvisor
40,2019-04-15,"To be  honest it’s not the kind of venue that I would choose, but was persuaded by family members . Yes indeed I was pleasantly surprised not just by the customer service, but equally so by the meal. The food was hot, tasty, and most...More",TripAdvisor
41,2019-04-08,"Burger King is a favourite in our family, so an obvious choice when we spotted it after a day of exploring London.
We sat downstairs. We were served quickly and didn’t wait too long for food. Usual self service drinks machines etc. Food was nice,as...More",TripAdvisor
42,2019-03-09,"On entering Burger King Leicester Square in London, I was not expecting fantastic customer service but was expecting the regular mass produced hangover-curing food.

Although I don't eat often in fast food outlets at all, what was refreshing about Burger King in Leicester Square was...More",TripAdvisor
43,2019-01-24,"When you don't have too much time on your hands this Burger King is great for access to the theatres in the area.

Its a standard Burger King but I find that even when they are busy the queues move quickly and the food is...More",TripAdvisor
44,2019-01-08,"Burger King you know exactly what your going to get, thank goodness staff were friendly. No real wait as quiet at the moment.",TripAdvisor
45,2019-01-04,Good old Burger King! Clean and tasty food! Would recommend if you want something quick and yummy in central.,TripAdvisor
46,2019-01-03,"We came to this outlet for lunch
The order I placed they got it wrong
I was waiting in the queue for more than 12 minutes and they got the order wrong and we left with short of food
Very dissatisfied and disappointed he did...More",TripAdvisor
47,2018-12-25,"Relaxing space with good views! Quick service, hot food. Drink machine sometimes difficult to operate. A good evening!",TripAdvisor
48,2018-12-17,"Dropped in for a quick feed before seeing Book Of Mormon and although absolutely humming with people we got served quickly and had a Feed. The food was the same as Australia, the service was good so no real complaints. In the middle of Leicester...More",TripAdvisor
49,2018-11-16,"We visited late at night after a show. The restaurant was really busy we could not sit in as the seating area was closed but you could have it as a takeaway . I was pleasantly suprised , my meal was freshly cooked and very...More",TripAdvisor
50,2018-10-28,I have been with all my work colleagues we ordered our burgers we are waiting in the queue when we took we wanted to go upstairs but staff was so rude,TripAdvisor
51,2018-10-18,I went here to get a quick salad after work and they didn't supply it however the staff were very grumpy and told me to get out and get some friends but I needed food so I asked for some chicken and they got out...More,TripAdvisor
52,2018-10-06,"I fell in love with Burger King after a visit to this Burger King back in August 2018. I've found my love for the whopper is just too hard to resist. 

Food is always cooked to perfection and piping hot every time. The place is...More",TripAdvisor
53,2018-09-28,Very clean and tidy not busy for central London food was fresh and staff was pleasant one of the best burger kings I been in,TripAdvisor
54,2018-09-22,We just stopped in for 2 quick coffees. The service was good and the coffee was very hot. With very fast service.,TripAdvisor
55,2018-09-22,We had a couple of the standard meal deals. The food was fresh and tasty. The service was friendly and efficient.  Can't ask for much more from a fast food restaurant.,TripAdvisor
56,2018-09-02,More attention needs to be given to the cleanliness. staff could smile and look as though they are ready to serve. in general needs an admin make over,TripAdvisor
57,2018-08-03,We visited yesterday and sat outside in the sunshine listening to a busker sing and it was lovely. The service was smooth and fast and the food was fresh and hot. We used the app and got some great deals. Staff were helpful and the...More,TripAdvisor
58,2018-07-25,"Mc Donalds is on the other side of Leicester Square, go there instead. This place is awful. Slow staff, no manners, place looks like a dump with rubbish and unclean tables, oh and no ice and only a limited selection of drinks working on the...More",TripAdvisor
59,2018-07-23,"Bin bags on the fryers, dirty restaurant! Managers need to take care especially the Burger King uk needs to take care. Hopefully we won’t get poison here.",TripAdvisor
60,2018-07-22,"Quick service 

Own re- fill for drinks 

No nonsense with drunks- well done to the security 

Despite being busy- seems clean and tidy and quick service 

Food was yummy",TripAdvisor
61,2018-07-11,The only advantage is That you can fill your glass every time you want. All the other things are the same of Italian Burger Kings. Recommended only if you want to eat something fast and junky.,TripAdvisor
